year,league,tier
1998,SOUTHERN FOOTBALL LEAGUE SOUTHERN DIVISION,7
1998,WESTERN LEAGUE PREMIER DIVISION,8
1999,ISTHMIAN LEAGUE DIVISION THREE,9
1999,NORTHERN DIVISION ONE,8
1999,NORTHERN LEAGUE DIVISION ONE,8
2000,ISTHMIAN LEAGUE DIVISION ONE,7
2000,NORTHERN PREMIER LEAGUE DIVISION ONE,7
2000,SOUTHERN FOOTBALL LEAGUE EAST DIVISION,7
2000,SOUTHERN PREMIER DIVISION,6
2001,EASTERN COUNTIES PREMIER DIVISION,8
2001,ISTHMIAN LEAGUE DIVISION THREE,9
2001,ISTHMIAN PREMIER DIVISION,6
2001,NORTHERN PREMIER LEAGUE DIVISION ONE,7
2002,ISTHMIAN LEAGUE DIVISION ONE,7
2002,ISTHMIAN LEAGUE DIVISION TWO,8
2002,ISTHMIAN PREMIER DIVISION,6
2002,NORTHERN COUNTIES EAST PREMIER,8
2003,ISTHMIAN LEAGUE DIVISION ONE NORTH,7
2003,NORTHERN COUNTIES EAST PREMIER,8
2003,NORTHERN PREMIER LEAGUE DIVISION ONE,7
2003,SOUTHERN PREMIER DIVISION,6
2003,WESTERN LEAGUE DIVISION ONE,8
2004,ISTHMIAN LEAGUE DIVISION ONE NORTH,7
2004,NORTHERN LEAGUE DIVISION ONE,8
2004,SOUTHERN FOOTBALL LEAGUE EAST DIVISION,7
2005,FOOTBALL CONFERENCE NATIONAL,5
2005,FOOTBALL CONFERENCE NORTH,6
2005,FOOTBALL CONFERENCE SOUTH,6
2005,MIDLAND ALLIANCE,9
2006,FOOTBALL CONFERENCE NORTH,6
2006,FOOTBALL CONFERENCE NORTHERN,6
2006,FOOTBALL CONFERENCE SOUTH,6
2006,ISTHMIAN LEAGUE DIVISION ONE,8
2006,MIDLAND ALLIANCE,9
2006,SOUTHERN FOOTBALL LEAGUE WEST DIVISION,8
2006,SOUTHERN PREMIER DIVISION,7
2007,FOOTBALL CONFERENCE NORTH,6
2007,FOOTBALL CONFERENCE SOUTH,6
2007,ISTHMIAN LEAGUE DIVISION ONE SOUTH,8
2008,FOOTBALL CONFERENCE NORTH,6
2008,FOOTBALL CONFERENCE SOUTH,6
2008,ISTHMIAN LEAGUE DIVISION ONE NORTH,8
2008,NORTHERN PREMIER LEAGUE DIVISION ONE NORTH,8
2008,SOUTHERN FOOTBALL LEAGUE DIVISION ONE MIDLANDS,8
2009,EASTERN COUNTIES PREMIER DIVISION,9
2009,FOOTBALL CONFERENCE NORTH,6
2009,FOOTBALL CONFERENCE SOUTH,6
2009,NORTHERN PREMIER LEAGUE DIVISION ONE NORTH,8
2009,SOUTHERN FOOTBALL LEAGUE DIVISION ONE MIDLANDS,8
2010,FOOTBALL CONFERENCE NORTH,6
2010,FOOTBALL CONFERENCE SOUTH,6
2010,ISTHMIAN LEAGUE DIVISION ONE NORTH,8
2010,SOUTHERN FOOTBALL LEAGUE DIVISION ONE SOUTH & WEST,8
2011,FOOTBALL CONFERENCE NORTH,6
2011,FOOTBALL CONFERENCE SOUTH,6
2011,KENT PREMIER DIVISION,9
2011,MIDLAND ALLIANCE,9
